"","Seq","AOU","English_Common_Name","French_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species"
"1",4,10010,"Great Tinamou                                      ","Grand Tinamou                                      ","Tinamus major                                      ","Tinamiformes                                       ","Tinamidae                                          ","Tinamus                                            ","major                                             "
"2",7,10030,"Little Tinamou                                     ","Tinamou soui                                       ","Crypturellus soui                                  ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","soui                                              "
"3",10,40080,"Thicket Tinamou                                    ","Tinamou cannelle                                   ","Crypturellus cinnamomeus                           ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","cinnamomeus                                       "
"4",13,10050,"Slaty-breasted Tinamou                             ","Tinamou de Boucard                                 ","Crypturellus boucardi                              ","Tinamiformes                                       ","Tinamidae                                          ","Crypturellus                                       ","boucardi                                          "
"5",16,1770,"Black-bellied Whistling-Duck                       ","Dendrocygne à ventre noir                          ","Dendrocygna autumnalis                             ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","autumnalis                                        "
"6",19,10200,"West Indian Whistling-Duck                         ","Dendrocygne des Antilles                           ","Dendrocygna arborea                                ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","arborea                                           "
"7",22,1780,"Fulvous Whistling-Duck                             ","Dendrocygne fauve                                  ","Dendrocygna bicolor                                ","Anseriformes                                       ","Anatidae                                           ","Dendrocygna                                        ","bicolor                                           "
"8",25,20590,"Swan Goose                                         ","Oie cygnoïde                                       ","Anser cygnoides                                    ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","cygnoides                                         "
"9",28,1711,"Taiga Bean-Goose                                   ","Oie des moissons                                   ","Anser fabalis                                      ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","fabalis                                           "
"10",31,1714,"Tundra Bean-Goose                                  ","Oie de la toundra                                  ","Anser serrirostris                                 ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","serrirostris                                      "
"11",34,1712,"Pink-footed Goose                                  ","Oie à bec court                                    ","Anser brachyrhynchus                               ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","brachyrhynchus                                    "
"12",37,1710,"Greater White-fronted Goose                        ","Oie rieuse                                         ","Anser albifrons                                    ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","albifrons                                         "
"13",40,1713,"Lesser White-fronted Goose                         ","Oie naine                                          ","Anser erythropus                                   ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","erythropus                                        "
"14",43,20600,"Graylag Goose                                      ","Oie cendrée                                        ","Anser anser                                        ","Anseriformes                                       ","Anatidae                                           ","Anser                                              ","anser                                             "
"15",46,1760,"Emperor Goose                                      ","Oie empereur                                       ","Chen canagica                                      ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","canagica                                          "
"16",49,1690,"Snow Goose                                         ","Oie des neiges                                     ","Chen caerulescens                                  ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","caerulescens                                      "
"17",52,1691,"(Blue Goose) Snow Goose                            ","Oie des neiges (forme bleue)                       ","Chen caerulescens (blue form)                      ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","caerulescens (blue form)                          "
"18",55,1700,"Ross's Goose                                       ","Oie de Ross                                        ","Chen rossii                                        ","Anseriformes                                       ","Anatidae                                           ","Chen                                               ","rossii                                            "
"19",58,1730,"Brant                                              ","Bernache cravant (groupe bernicla)                 ","Branta bernicla                                    ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","bernicla                                          "
"20",61,1740,"(Black Brant) Brant                                ","Bernache cravant (groupe nigricans)                ","Branta bernicla nigricans                          ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","bernicla nigricans                                "
"21",64,1750,"Barnacle Goose                                     ","Bernache nonnette                                  ","Branta leucopsis                                   ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","leucopsis                                         "
"22",67,1725,"Cackling Goose                                     ","Bernache de Hutchins                               ","Branta hutchinsii                                  ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","hutchinsii                                        "
"23",70,1720,"Canada Goose                                       ","Bernache du Canada                                 ","Branta canadensis                                  ","Anseriformes                                       ","Anatidae                                           ","Branta                                             ","canadensis                                        "
"24",76,1782,"Mute Swan                                          ","Cygne tuberculé                                    ","Cygnus olor                                        ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","olor                                              "
"25",79,80380,"Black Swan                                         ","Cygne noir                                         ","Cygnus atratus                                     ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","atratus                                           "
"26",82,1810,"Trumpeter Swan                                     ","Cygne trompette                                    ","Cygnus buccinator                                  ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","buccinator                                        "
"27",85,1800,"Tundra Swan                                        ","Cygne siffleur                                     ","Cygnus columbianus                                 ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","columbianus                                       "
"28",88,1790,"Whooper Swan                                       ","Cygne chanteur                                     ","Cygnus cygnus                                      ","Anseriformes                                       ","Anatidae                                           ","Cygnus                                             ","cygnus                                            "
"29",91,20630,"Egyptian Goose                                     ","Ouette d'Égypte                                    ","Alopochen aegyptiaca                               ","Anseriformes                                       ","Anatidae                                           ","Alopochen                                          ","aegyptiaca                                        "
"30",94,10210,"Muscovy Duck                                       ","Canard musqué                                      ","Cairina moschata                                   ","Anseriformes                                       ","Anatidae                                           ","Cairina                                            ","moschata                                          "
"31",97,1440,"Wood Duck                                          ","Canard branchu                                     ","Aix sponsa                                         ","Anseriformes                                       ","Anatidae                                           ","Aix                                                ","sponsa                                            "
