"","year","location","season","night","web","trap","recap","species","sex","age","reprod","mass"
"1",1989,"5pgrass",1,1,2,"21","n","pgfv","m","j","na","5"
"2",1989,"5pgrass",1,1,2,"42","n","remg","m","a","st","9"
"3",1989,"5pgrass",1,1,2,"60","n","dior","m","a","st","50"
"4",1989,"5pgrass",1,1,2,"68","n","remg","f","a","na","10"
"5",1989,"5pgrass",1,1,2,"75","n","pgfv","f","a","na","6"
"6",1989,"5pgrass",1,1,2,"83","n","pgfv","m","a","st","7.5"
"7",1989,"5pgrass",1,1,2,"93","n","onar","m","a","na","22"
"8",1989,"5pgrass",1,1,2,"102","n","spsp","f","a","l","109"
"9",1989,"5pgrass",1,1,2,"105","n","disp","f","a","na","98"
"10",1989,"5pgrass",1,1,2,"106","n","pgfv","f","a","na","6.5"
"11",1989,"5pgrass",1,1,2,"107","n","dior","m","a","na","46"
"12",1989,"5pgrass",1,1,2,"138","n","pgfv","m","j","na","5"
"13",1989,"5pgrass",1,1,2,"140","n","pgfv","m","a","st","7"
"14",1989,"5pgrass",1,1,3,"5","n","dior","f","a","na","36"
"15",1989,"5pgrass",1,1,3,"6","n","neal","m","j","na","7.5"
"16",1989,"5pgrass",1,1,3,"7","n","dior","f","a","na","51.5"
"17",1989,"5pgrass",1,1,3,"10","n","pgfv","f","a","na","8"
"18",1989,"5pgrass",1,1,3,"10","n","pgfv","m","a","na","7.5"
"19",1989,"5pgrass",1,1,3,"28","n","dior","m","j","na","27"
"20",1989,"5pgrass",1,1,3,"30","n","dior","m","a","st","45"
"21",1989,"5pgrass",1,1,3,"33","n","dior","f","a","na","42"
"22",1989,"5pgrass",1,1,3,"47","n","pgfv","f","a","na","7"
"23",1989,"5pgrass",1,1,3,"54","n","dior","m","j","na","24"
"24",1989,"5pgrass",1,1,3,"64","n","dior","m","j","na","22"
"25",1989,"5pgrass",1,1,3,"66","n","dior","m","a","na","47.5"
"26",1989,"5pgrass",1,1,3,"71","n","pgfv","f","a","na","6.5"
"27",1989,"5pgrass",1,1,3,"78","n","pgfv","f","a","na","7.5"
"28",1989,"5pgrass",1,1,3,"82","n","dior","m","j","na","27"
"29",1989,"5pgrass",1,1,3,"108","n","pgfv","f","j","na","5"
"30",1989,"5pgrass",1,1,3,"120","n","disp","m","a","na","102"
"31",1989,"5pgrass",1,1,3,"122","n","dior","f","a","na","44.5"
"32",1989,"5pgrass",1,1,3,"143","n","dior","f","a","na","36"
"33",1989,"5pgrass",1,1,3,"144","n","pgfv","m","a","st","8"
"34",1989,"5pgrass",1,1,5,"2","n","pgfv","m","a","na","6"
"35",1989,"5pgrass",1,1,5,"38","n","remn","m","a","st","8"
"36",1989,"5pgrass",1,1,5,"48","n","spsp","m","a","st","103"
"37",1989,"5pgrass",1,1,5,"54","n","pgfv","m","a","na","7"
"38",1989,"5pgrass",1,1,5,"68","n","dior","f","a","l","50"
"39",1989,"5pgrass",1,1,5,"77","n","dior","m","a","st","52"
"40",1989,"5pgrass",1,1,5,"79","n","pgfv","m","a","na","6"
"41",1989,"5pgrass",1,1,5,"90","n","spsp","m","a","na","112"
"42",1989,"5pgrass",1,1,5,"121","n","remg","m","a","st","10.5"
"43",1989,"5pgrass",1,2,2,"12","n","pgfv","f","a","na","7"
"44",1989,"5pgrass",1,2,2,"19","n","dior","f","a","na","46"
"45",1989,"5pgrass",1,2,2,"55","n","pgfv","m","a","na","8"
"46",1989,"5pgrass",1,2,2,"58","n","dior","f","a","na","49"
"47",1989,"5pgrass",1,2,2,"84","n","dior","f","a","na","34"
"48",1989,"5pgrass",1,2,2,"129","n","dior","m","a","na","40"
"49",1989,"5pgrass",1,2,2,"132","n","dior","m","a","na","55"
"50",1989,"5pgrass",1,2,3,"12","n","dior","m","a","na","47"
"51",1989,"5pgrass",1,2,3,"18","n","pgfv","m","a","na","8"
"52",1989,"5pgrass",1,2,3,"24","n","spsp","f","a","l","100"
"53",1989,"5pgrass",1,2,3,"30","n","pgfv","m","a","st","7"
"54",1989,"5pgrass",1,2,3,"34","n","dior","m","a","na","43.5"
"55",1989,"5pgrass",1,2,3,"58","n","dior","f","a","l","51"
"56",1989,"5pgrass",1,2,3,"59","n","onar","m","a","na","21"
"57",1989,"5pgrass",1,2,3,"65","n","pgfv","f","a","na","6.5"
"58",1989,"5pgrass",1,2,3,"67","n","remg","m","a","st","7"
"59",1989,"5pgrass",1,2,3,"72","n","dior","m","a","na","41.5"
"60",1989,"5pgrass",1,2,3,"76","n","pgfv","f","a","na","6"
"61",1989,"5pgrass",1,2,3,"83","n","dior","m","a","na","46"
"62",1989,"5pgrass",1,2,3,"91","n","pgfv","m","a","na","8"
"63",1989,"5pgrass",1,2,3,"93","n","dior","m","a","na","52"
"64",1989,"5pgrass",1,2,3,"108","n","pgfv","m","a","st","8"
"65",1989,"5pgrass",1,2,3,"114","n","pgfv","m","a","na","8"
"66",1989,"5pgrass",1,2,3,"119","n","disp","f","a","na","120"
"67",1989,"5pgrass",1,2,3,"120","n","dior","m","a","na","44"
"68",1989,"5pgrass",1,2,3,"142","n","pgfv","m","a","na","8.5"
"69",1989,"5pgrass",1,2,5,"10","n","pgfv","m","a","na","8"
"70",1989,"5pgrass",1,2,5,"15","n","pgfv","m","a","na","7"
"71",1989,"5pgrass",1,2,5,"23","n","dior","m","a","st","49"
"72",1989,"5pgrass",1,2,5,"32","n","pgfv","f","a","na","7"
"73",1989,"5pgrass",1,2,5,"35","n","disp","m","a","na","82"
"74",1989,"5pgrass",1,2,5,"80","n","onar","f","a","na","20"
"75",1989,"5pgrass",1,2,5,"90","n","dime","f","j","na","20"
"76",1989,"5pgrass",1,2,5,"93","n","dime","f","j","na","20"
"77",1989,"5pgrass",1,2,5,"104","n","dior","f","a","na","47"
"78",1989,"5pgrass",1,2,5,"117","n","remg","m","a","na","10"
"79",1989,"5pgrass",1,2,5,"140","n","pgfv","m","a","na","8"
"80",1989,"5pgrass",1,2,5,"141","n","pgfv","m","a","na","8"
"81",1989,"5pgrass",1,3,2,"1","n","dior","m","a","na","48"
"82",1989,"5pgrass",1,3,2,"19","n","pgfv","f","j","na","5"
"83",1989,"5pgrass",1,3,3,"2","n","dior","f","a","l","39.5"
"84",1989,"5pgrass",1,3,3,"8","n","spsp","m","a","st","100"
"85",1989,"5pgrass",1,3,3,"11","n","disp","f","a","na","125"
"86",1989,"5pgrass",1,3,3,"34","n","pgfv","f","a","na","6"
"87",1989,"5pgrass",1,3,3,"35","n","spsp","f","a","na","50"
"88",1989,"5pgrass",1,3,3,"48","n","pgfv","f","a","na","7"
"89",1989,"5pgrass",1,3,3,"55","n","pgfv","m","a","na","7"
"90",1989,"5pgrass",1,3,3,"80","n","remg","f","j","na","6.5"
"91",1989,"5pgrass",1,3,3,"90","n","dior","m","a","na","49"
"92",1989,"5pgrass",1,3,3,"92","n","pgfv","f","a","na","7"
"93",1989,"5pgrass",1,3,3,"105","n","pgfv","f","a","na","7"
"94",1989,"5pgrass",1,3,3,"108","n","pgfv","m","a","na","8"
"95",1989,"5pgrass",1,3,3,"110","n","pgfv","f","a","na","6"
"96",1989,"5pgrass",1,3,3,"144","n","disp","m","j","na","80"
"97",1989,"5pgrass",1,3,3,"144","n","pgfv","m","a","st","7"
"98",1989,"5pgrass",1,3,5,"5","n","spsp","m","a","st","100"
"99",1989,"5pgrass",1,3,5,"12","n","nemi","m","a","na","75"
"100",1989,"5pgrass",1,3,5,"23","n","dior","f","a","l","48"
"101",1989,"5pgrass",1,3,5,"35","n","disp","f","a","na","130"
"102",1989,"5pgrass",1,3,5,"45","n","pgfv","m","a","na","8"
"103",1989,"5pgrass",1,3,5,"54","n","remg","m","j","na","4"
"104",1989,"5pgrass",1,3,5,"70","n","pgfv","f","a","na","7"
"105",1989,"5pgrass",1,3,5,"84","n","onar","f","j","na","11"
"106",1989,"5pgrass",1,3,5,"106","n","pgfv","f","a","na","11"
"107",1989,"5pgrass",1,3,5,"260","n","disp","m","a","st","140"
"108",1989,"5pgrass",2,1,2,"9","n","spsp","m","a","na","105"
"109",1989,"5pgrass",2,1,2,"10","n","dior","m","a","na","51"
"110",1989,"5pgrass",2,1,2,"29","n","pgfv","m","a","st","5"
"111",1989,"5pgrass",2,1,2,"30","n","pgfv","m","a","st","3"
"112",1989,"5pgrass",2,1,2,"42","n","remn","m","a","na","7"
"113",1989,"5pgrass",2,1,2,"48","n","pgfv","m","j","na","5"
"114",1989,"5pgrass",2,1,2,"58","n","dior","m","a","st","50"
"115",1989,"5pgrass",2,1,2,"65","n","pgfv","f","a","na","6.5"
"116",1989,"5pgrass",2,1,2,"68","n","remn","f","a","na","9"
"117",1989,"5pgrass",2,1,2,"70","n","spsp","f","j","na","74"
