ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
1,1,0,0,0,0,0,0,3,0,1.25,0,0,0,0.5,0.5,60,0,0,12.5,5.5,0,0,0,0.5,0,0,0,0,0,0,0,0,18.75,0,0,2,0,0
2,2.25,0,0,0,0,0,0,2.5,0,0,0,0,0,3.75,1.25,42.5,7.5,0.5,3.5,3.75,22.5,0,3,0,0,2.5,0,1.25,0,0,0,3.25,0,16.25,0,0.75,0,1.25
3,2,0,1.75,0,2.25,0,0,4.25,0,0,0,0,0,3,0.5,53.75,0,0,0,5.75,21.25,0,0,1.75,0,6.25,0,0,0,0,0,0,5,0,0,0,0,0
4,0,0,0,0,4,5.75,0,2.75,0,0,0,0,0,3.25,1,57.5,0,0,0.5,7,8.75,0,0,0.25,0,6.25,0,2,0,0,0,6.25,2,0,0,0,0,0
5,0,0.25,1.25,0,0,0,0,1.75,0,0,0.25,0,0,3.25,0.5,70,0,0,0.25,8.75,0,0,1,0.25,0.5,2.5,0,0,0,23.75,0,0,4.5,0,0,1.25,0,0
6,1,0,0,2.5,0,0,0.25,1.75,2,0,0,0,0,5.5,2.75,72.5,1.5,0,0,5.75,7,0,0.75,0,0,11.25,0,0.5,0,0,0.5,4.5,8.75,0,0,0,0,0.75
7,1.5,0,0.25,0,0,0,0,3.5,0,2,0.25,0,0,5,2.25,92.5,0,0,0,4,1.25,0,0.25,0,0,6.25,0.25,0,0,0,0,2.5,4.5,2.25,0,0,0,1.25
8,1.5,0,0,0,0,0,0,3,0.5,1.5,0,0,0,3.25,1.5,87.5,0,0,0,5,2,0,0,0,0,10,0,0,0,0,0,10,6.25,7.5,1.25,0,0,0
9,2.75,0,0,0,0,0,0,2,0.75,0,0.75,0,0,1.5,3,77.5,0.5,1,0,6.25,1.75,0,0.5,0.25,3.75,4.5,0,0,0,0,0.25,0,7,0,0,0,0,1.25
10,2.75,0,0.75,0,0,0,0,2.5,0.5,0,0.5,0,0,7,1.75,32.5,4.5,1,0,6.5,1.5,1.25,1,0,7,6.25,0,2.5,0.5,0,0,0,7.5,11.25,7.5,0,0,0
