"Exp"	"Year"	"Field"	"Plot"	"NTrt"	"NAdd"	"NitrAdd"	"NAtm+NAdd"	"Species"	"Biomass"
1	1982	A	1	9	0	0	1	Cyperus sp.	0.033
1	1982	A	1	9	0	0	1	Achillea millefolium(lanulosa)	0.16
1	1982	A	1	9	0	0	1	Digitaria ischaemum	0.187
1	1982	A	1	9	0	0	1	Potentilla recta	0.657
1	1982	A	1	9	0	0	1	Panicum perlongum	1.833
1	1982	A	1	9	0	0	1	Erigeron strigosus	1.867
1	1982	A	1	9	0	0	1	Ambrosia coronopifolia	2.533
1	1982	A	1	9	0	0	1	Aristida basiramea	2.533
1	1982	A	1	9	0	0	1	Agrostis scabra	5.1
1	1982	A	1	9	0	0	1	Berteroa incana	7.4
1	1982	A	1	9	0	0	1	Erigeron canadensis	9.767
1	1982	A	1	9	0	0	1	Fragaria virginiana	14.4
1	1982	A	1	9	0	0	1	Agropyron repens	14.867
1	1982	A	1	9	0	0	1	Miscellaneous litter	46.333
1	1982	A	2	2	1.02	3	2.02	Panicum oligosanthes	0.243
1	1982	A	2	2	1.02	3	2.02	Aristida basiramea	0.58
1	1982	A	2	2	1.02	3	2.02	Polygonum convolvulus	0.623
1	1982	A	2	2	1.02	3	2.02	Agrostis scabra	0.857
1	1982	A	2	2	1.02	3	2.02	Berteroa incana	2.433
1	1982	A	2	2	1.02	3	2.02	Fragaria virginiana	5.867
1	1982	A	2	2	1.02	3	2.02	Ambrosia coronopifolia	7.533
1	1982	A	2	2	1.02	3	2.02	Erigeron strigosus	46.767
1	1982	A	2	2	1.02	3	2.02	Agropyron repens	47.033
1	1982	A	2	2	1.02	3	2.02	Miscellaneous litter	51.3
1	1982	A	3	4	3.4	10	4.4	Asclepias ovalifolia	0.053
1	1982	A	3	4	3.4	10	4.4	Achillea millefolium(lanulosa)	0.497
1	1982	A	3	4	3.4	10	4.4	Setaria lutescens (glauca)	1.207
1	1982	A	3	4	3.4	10	4.4	Agrostis scabra	5.167
1	1982	A	3	4	3.4	10	4.4	Erigeron canadensis	7.467
1	1982	A	3	4	3.4	10	4.4	Ambrosia artemisiifolia elatior	12.067
1	1982	A	3	4	3.4	10	4.4	Fragaria virginiana	17.467
1	1982	A	3	4	3.4	10	4.4	Berteroa incana	21.067
1	1982	A	3	4	3.4	10	4.4	Agropyron repens	40
1	1982	A	3	4	3.4	10	4.4	Miscellaneous litter	73.133
1	1982	A	4	2	1.02	3	2.02	Hedeoma hispida	0.057
1	1982	A	4	2	1.02	3	2.02	Achillea millefolium(lanulosa)	0.42
1	1982	A	4	2	1.02	3	2.02	Setaria lutescens (glauca)	0.587
1	1982	A	4	2	1.02	3	2.02	Agrostis scabra	4.4
1	1982	A	4	2	1.02	3	2.02	Erigeron canadensis	8
1	1982	A	4	2	1.02	3	2.02	Ambrosia artemisiifolia elatior	9.133
1	1982	A	4	2	1.02	3	2.02	Poa pratensis	12.833
1	1982	A	4	2	1.02	3	2.02	Oenothera biennis	13.267
1	1982	A	4	2	1.02	3	2.02	Berteroa incana	23.633
1	1982	A	4	2	1.02	3	2.02	Agropyron repens	40.967
1	1982	A	4	2	1.02	3	2.02	Miscellaneous litter	66.367
1	1982	A	5	9	0	0	1	Achillea millefolium(lanulosa)	0.087
1	1982	A	5	9	0	0	1	Sisyrinchium campestre	0.453
1	1982	A	5	9	0	0	1	Agrostis scabra	0.573
1	1982	A	5	9	0	0	1	Setaria lutescens (glauca)	0.58
1	1982	A	5	9	0	0	1	Berteroa incana	2.52
1	1982	A	5	9	0	0	1	Ambrosia artemisiifolia elatior	2.613
1	1982	A	5	9	0	0	1	Erigeron canadensis	43.567
1	1982	A	5	9	0	0	1	Miscellaneous litter	51.667
1	1982	A	5	9	0	0	1	Agropyron repens	58.8
1	1982	A	5	9	0	0	1	Lychnis alba	327.33
1	1982	A	6	8	27.2	80	28.2	Hieracium longipilum	1.24
1	1982	A	6	8	27.2	80	28.2	Setaria lutescens (glauca)	1.407
1	1982	A	6	8	27.2	80	28.2	Achillea millefolium(lanulosa)	1.833
1	1982	A	6	8	27.2	80	28.2	Lychnis alba	10.967
1	1982	A	6	8	27.2	80	28.2	Erigeron canadensis	12.6
1	1982	A	6	8	27.2	80	28.2	Ambrosia artemisiifolia elatior	24.3
1	1982	A	6	8	27.2	80	28.2	Agropyron repens	47
1	1982	A	6	8	27.2	80	28.2	Berteroa incana	87.867
1	1982	A	6	8	27.2	80	28.2	Miscellaneous litter	199.23
1	1982	A	7	7	17	50	18	Cyperus sp.	0.127
1	1982	A	7	7	17	50	18	Helianthemum bicknellii	0.16
1	1982	A	7	7	17	50	18	Tradescantia occidentalis	0.22
1	1982	A	7	7	17	50	18	Hedeoma hispida	0.617
1	1982	A	7	7	17	50	18	Ambrosia coronopifolia	1.11
1	1982	A	7	7	17	50	18	Erigeron strigosus	1.577
1	1982	A	7	7	17	50	18	Anemone cylindrica	1.603
1	1982	A	7	7	17	50	18	Potentilla recta	2.133
1	1982	A	7	7	17	50	18	Agrostis scabra	2.367
1	1982	A	7	7	17	50	18	Berteroa incana	56.1
1	1982	A	7	7	17	50	18	Agropyron repens	83.233
1	1982	A	7	7	17	50	18	Poa pratensis	172.6
1	1982	A	7	7	17	50	18	Miscellaneous litter	324
1	1982	A	8	4	3.4	10	4.4	Chenopodium album	0.02
1	1982	A	8	4	3.4	10	4.4	Lychnis alba	0.083
1	1982	A	8	4	3.4	10	4.4	Potentilla recta	0.083
1	1982	A	8	4	3.4	10	4.4	Ambrosia artemisiifolia elatior	0.093
1	1982	A	8	4	3.4	10	4.4	Euphorbia (supina) maculata	0.173
1	1982	A	8	4	3.4	10	4.4	Aristida basiramea	0.203
1	1982	A	8	4	3.4	10	4.4	Verbascum thapsus	0.413
1	1982	A	8	4	3.4	10	4.4	Polygonum convolvulus	1.167
1	1982	A	8	4	3.4	10	4.4	Achillea millefolium(lanulosa)	7.367
1	1982	A	8	4	3.4	10	4.4	Berteroa incana	11.1
1	1982	A	8	4	3.4	10	4.4	Agrostis scabra	11.4
1	1982	A	8	4	3.4	10	4.4	Erigeron canadensis	12.933
1	1982	A	8	4	3.4	10	4.4	Ambrosia coronopifolia	24.133
1	1982	A	8	4	3.4	10	4.4	Agropyron repens	60.167
1	1982	A	8	4	3.4	10	4.4	Miscellaneous litter	184
1	1982	A	9	6	9.52	28	10.52	Poa pratensis	0.123
1	1982	A	9	6	9.52	28	10.52	Aristida basiramea	0.15
1	1982	A	9	6	9.52	28	10.52	Tragopogon dubius (major)	0.183
1	1982	A	9	6	9.52	28	10.52	Hedeoma hispida	0.553
1	1982	A	9	6	9.52	28	10.52	Polygonum convolvulus	4.2
1	1982	A	9	6	9.52	28	10.52	Potentilla recta	6.1
1	1982	A	9	6	9.52	28	10.52	Agrostis scabra	12.333
1	1982	A	9	6	9.52	28	10.52	Ambrosia artemisiifolia elatior	16.733
1	1982	A	9	6	9.52	28	10.52	Erigeron canadensis	31.3
1	1982	A	9	6	9.52	28	10.52	Berteroa incana	49.333
1	1982	A	9	6	9.52	28	10.52	Agropyron repens	78.2
1	1982	A	9	6	9.52	28	10.52	Miscellaneous litter	183.97
1	1982	A	10	3	2.04	6	3.04	Polygonum convolvulus	0.007
1	1982	A	10	3	2.04	6	3.04	Hedeoma hispida	0.077
1	1982	A	10	3	2.04	6	3.04	Tradescantia occidentalis	0.467
1	1982	A	10	3	2.04	6	3.04	Aristida basiramea	1.283
1	1982	A	10	3	2.04	6	3.04	Potentilla recta	2.6
1	1982	A	10	3	2.04	6	3.04	Berteroa incana	3.033
1	1982	A	10	3	2.04	6	3.04	Crepis tectorum	5
1	1982	A	10	3	2.04	6	3.04	Agrostis scabra	7.367
1	1982	A	10	3	2.04	6	3.04	Ambrosia coronopifolia	13.933
1	1982	A	10	3	2.04	6	3.04	Lychnis alba	14.767
1	1982	A	10	3	2.04	6	3.04	Achillea millefolium(lanulosa)	15.867
1	1982	A	10	3	2.04	6	3.04	Erigeron strigosus	31.333
1	1982	A	10	3	2.04	6	3.04	Agropyron repens	32.033
1	1982	A	10	3	2.04	6	3.04	Miscellaneous litter	193.1
1	1982	A	11	8	27.2	80	28.2	Polygonum tenue	0.137
1	1982	A	11	8	27.2	80	28.2	Aristida basiramea	0.493
1	1982	A	11	8	27.2	80	28.2	Hedeoma hispida	1.533
1	1982	A	11	8	27.2	80	28.2	Agrostis scabra	2.867
1	1982	A	11	8	27.2	80	28.2	Achillea millefolium(lanulosa)	3.367
1	1982	A	11	8	27.2	80	28.2	Erigeron canadensis	5.9
1	1982	A	11	8	27.2	80	28.2	Polygonum convolvulus	8.067
1	1982	A	11	8	27.2	80	28.2	Poa pratensis	11.233
1	1982	A	11	8	27.2	80	28.2	Ambrosia artemisiifolia elatior	21.033
1	1982	A	11	8	27.2	80	28.2	Agropyron repens	52.333
1	1982	A	11	8	27.2	80	28.2	Berteroa incana	57.8
1	1982	A	11	8	27.2	80	28.2	Miscellaneous litter	347.33
1	1982	A	12	1	0	0	1	Hieracium longipilum	0.003
1	1982	A	12	1	0	0	1	Aristida basiramea	0.017
1	1982	A	12	1	0	0	1	Chrysopsis villosa	0.067
1	1982	A	12	1	0	0	1	Achillea millefolium(lanulosa)	0.097
1	1982	A	12	1	0	0	1	Tradescantia occidentalis	0.1
1	1982	A	12	1	0	0	1	Anemone cylindrica	0.18
1	1982	A	12	1	0	0	1	Crepis tectorum	0.227
1	1982	A	12	1	0	0	1	Rudbeckia serotina	0.417
1	1982	A	12	1	0	0	1	Sisyrinchium campestre	0.567
1	1982	A	12	1	0	0	1	Agrostis scabra	0.577
1	1982	A	12	1	0	0	1	Schizachyrium scoparium	0.61
1	1982	A	12	1	0	0	1	Setaria lutescens (glauca)	0.66
1	1982	A	12	1	0	0	1	Rumex acetosella	1.187
1	1982	A	12	1	0	0	1	Berteroa incana	7.2
1	1982	A	12	1	0	0	1	Carex sp.	8.2
1	1982	A	12	1	0	0	1	Fragaria virginiana	14.067
1	1982	A	12	1	0	0	1	Erigeron canadensis	16.633
1	1982	A	12	1	0	0	1	Ambrosia artemisiifolia elatior	20.233
1	1982	A	12	1	0	0	1	Agropyron repens	34.433
1	1982	A	12	1	0	0	1	Miscellaneous litter	234.67
1	1982	A	13	5	5.44	16	6.44	Carex sp.	0.043
1	1982	A	13	5	5.44	16	6.44	Polygonum convolvulus	0.06
1	1982	A	13	5	5.44	16	6.44	Lepidium densiflorum	0.18
1	1982	A	13	5	5.44	16	6.44	Sporobolus cryptandrus	0.333
1	1982	A	13	5	5.44	16	6.44	Setaria lutescens (glauca)	0.553
1	1982	A	13	5	5.44	16	6.44	Hedeoma hispida	0.573
1	1982	A	13	5	5.44	16	6.44	Erigeron canadensis	0.747
1	1982	A	13	5	5.44	16	6.44	Achillea millefolium(lanulosa)	0.803
1	1982	A	13	5	5.44	16	6.44	Ambrosia artemisiifolia elatior	2.433
1	1982	A	13	5	5.44	16	6.44	Oenothera biennis	6.633
1	1982	A	13	5	5.44	16	6.44	Agrostis scabra	12.933
1	1982	A	13	5	5.44	16	6.44	Berteroa incana	22.333
1	1982	A	13	5	5.44	16	6.44	Fragaria virginiana	44.833
1	1982	A	13	5	5.44	16	6.44	Agropyron repens	63.067
1	1982	A	13	5	5.44	16	6.44	Miscellaneous litter	296.67
1	1982	A	14	6	9.52	28	10.52	Polygonum convolvulus	0.123
1	1982	A	14	6	9.52	28	10.52	Aristida basiramea	0.217
1	1982	A	14	6	9.52	28	10.52	Cyperus sp.	0.32
1	1982	A	14	6	9.52	28	10.52	Hedeoma hispida	0.417
1	1982	A	14	6	9.52	28	10.52	Euphorbia (supina) maculata	0.533
1	1982	A	14	6	9.52	28	10.52	Verbascum thapsus	0.917
1	1982	A	14	6	9.52	28	10.52	Fragaria virginiana	9.433
1	1982	A	14	6	9.52	28	10.52	Ambrosia artemisiifolia elatior	9.5
1	1982	A	14	6	9.52	28	10.52	Erigeron canadensis	10.8
1	1982	A	14	6	9.52	28	10.52	Berteroa incana	12.4
1	1982	A	14	6	9.52	28	10.52	Agrostis scabra	13.167
1	1982	A	14	6	9.52	28	10.52	Oenothera biennis	45.1
1	1982	A	14	6	9.52	28	10.52	Agropyron repens	74.333
